id,breeding_status(if cygnets=breeder; if mate=paired;else non-breeder or cygnet),mate_present,cygnets,sex,mass (kg),skull (mm),tarsus (mm),lead,breeding_lat,comments
2A,breeder,y,4,F,11.5,197,135,NA,47.721362,
4A,paired,y,0,F,12.8,260,153,NA,47.49753,skull and tarsus seem large
5A,non_breeder,NA,NA,F,11.7,200,148,NA,48.482692,
6A,breeder,y,3,F,10.4,208,153,NA,46.54242,
3A,non_breeder,n,0,F,13.1,198,152,NA,46.96702,
7A,breeder,y,6,F,NA,208,150,NA,47.049928,
9A,breeder,y,1,F,10.4,190,139,NA,45.002535,
8A,paired,y,0,F,10.25,217,144,63.8,44.817844,
1A,paired,y,0,M,13.2,210,135,21.2,45.002486,
0A,breeder,y,5,M,11,210,124,33.3,45.055793,
1E,paired,y,0,F,10.9,210,118.4,60.5,44.8678,
2E,paired,y,0,M,12.5,214,148,305.3,46.5360944,
0E,paired,y,0,F,12.8,196,133,338.5,46.8046539,
9E,paired,y,0,F,10.4,200.1,125.4,107.5,46.8419568,
8E,non_breeder,n,0,M,13.6,212,134.5,32.3,46.9190281,"didn't see a mate nearby; seemed like an older bird, so breeding status unclear"
6E,non_breeder,n,0,M,14.2,212,142,66.2,46.634439,
7E,breeder,y,5,F,10.2,200,126.5,36.1,43.933905,
1R,breeder,y,4,F,11,200,136.6,28.4,43.858343,
0R,breeder,y,5,F,10,187,106,28.4,44.008855,
3R,breeder,y,3,F,9.4,192,112,46.7,43.965941,
2R,breeder,y,1,F,10.6,199,119,209.7,44.54568,
6R,paired,y,0,M,12.5,198,119,150.8,46.824104,
5R,paired,y,0,F,8.7,185,127,75.8,46.766629,
4R,breeder,y,4,F,11,199,125,129.2,47.548893,
0M,non_breeder,n,0,F,9.5,190,132,100.1,41.4623,
3E,breeder,y,3,M,13,200,148,22.5,44.882535,
7R,breeder,y,5,F,10.8,193,121,42.9,47.660391,
8R,paired,y,0,F,12,192.5,138.4,103.3,47.500505,
9R,non_breeder,y,0,M,8.9,181,129,118.5,47.025037,4 swans on small lake; 3 molting at same time
0T,breeder,y,2,M,11.2,202,124,8.7,46.933808,
3T,non_breeder,n,0,F,10.2,191,126,541.5,46.105333,in large group of swans (23 present; 17 in molt)
6T,non_breeder,n,0,M,11.5,188,131,68,45.480052,in large group of 13 molting swans
0N,breeder,y,3,F,10.8,200,124,16,41.62445,
1N,breeder,y,1,M,12.9,210,129,80,41.62236,
2N,breeder,y,1,F,9.4,195,119,107.4,41.62871,
3N,non_breeder,n,0,F,10.4,195,130,62.7,41.62079,
0H,breeder,y,0,M,11.27,184.2,NA,NA,51.050226,6 eggs; didn't hatch; infertile eggs
1H,non_breeder,n,0,M,11.64,197.4,NA,NA,49.700347,
2H,non_breeder,n,0,F,9.45,184.3,NA,NA,49.700347,
3H,breeder,y,4,F,9.5,186.6,101.5,NA,49.599171,produced 3 cygnets in 2021
4H,non_breeder,n,0,M,11.05,192.4,118.2,NA,50.602661,
5H,NA,n,0,F,9.86,193.8,110,NA,50.830895,"only 1 swan observed, but 2 swans there earlier in year and have nested sucessfully before"
6H,breeder,n,0,M,13,200,132.1,NA,49.17177,
7H,paired,y,0,M,12.09,198.7,126.4,NA,49.653416,
8H,paired,y,0,F,8.59,195.4,126.1,NA,50.291275,"captured swan was lighter weight and grey, so many SY"
5T,breeder,y,4,F,9.8,200,125,20.3,45.399181,
7T,breeder,y,6,F,10,189,128,40.3,45.108924,
1T,breeder,y,5,F,9.8,186,132,24.5,47.50938,
8T,paired,y,0,F,11.5,200,144,83.8,47.57929,
0L,paired,y,0,F,12.6,195,128,28.1,46.989949,
1L,breeder,y,3,F,10.3,204,129,39.4,45.987785,
2L,non_breeder,n,0,M,11,194,129,116.2,47.098069,
3L,breeder,y,2,F,9.9,192,121,19.4,47.445539,
4T,breeder,y,2,F,10.4,192,140,1076.3,47.27225,
2T,breeder,y,1,M,11.4,203,128,28.4,46.153865,
1M,breeder,y,4,F,10.3,200,118,33.3,41.43333,
2M,breeder,y,5,M,12.4,205,128,39.8,41.46111,
3M,paired,y,0,F,10.6,198,129,93.1,41.43033,
4L,breeder,y,2,M,10.8,202,136,21,46.90478,
7N,breeder,y,5,M,13.2,200,129,105.4,40.58738,
4E,non_breeder,n,0,M,11.7,189,130,342,48.48005,
5E,breeder,y,2,F,12.2,188,126,72.3,48.956299,
6L,breeder,y,1,M,12.4,205,136,26.6,48.342056,
4N,breeder,y,2,F,10.7,190,126,21.8,40.70984,
5N,breeder,y,6,F,9.5,185,124,52,40.72501,
6N,breeder,y,2,F,9.9,195,125,58.4,40.71111,
5L,cygnet,NA,NA,F,6.4,151,107,7.2,47.694633,1 of 3 cygnets in family
0C,breeder,y,4,M,12.6,201,122,34,43.207806,
1C,breeder,y,4,M,12.2,198,126,104.2,43.12184,
2C,breeder,y,8,M,11.2,201.5,126.5,33.1,43.324499,
3C,breeder,y,5,M,12,201.8,126,142.9,41.796812,
4C,breeder,y,5,M,11.6,200,125.5,206.6,43.3214114,
5C,breeder,y,2,M,12.2,210.2,123.1,30.3,43.2926886,
0T_2nd,breeder,y,5,M,13.6,193,131,77.1,45.275751,
6C,breeder,y,4,M,11.6,206.1,128.5,34,43.2719248,
7C,breeder,y,4,M,12,219.6,128,27.2,43.2859292,
8C,breeder,y,5,M,12.4,201.7,126,14.5,42.9356562,
9H,breeder,y,4,M,13.05,201.7,127.4,NA,49.174954,
2P,cygnet,NA,NA,F,7.06,NA,142.5,26.3,44.028,1 of 6 cygnets in group; no skull length; tarsus seems to big for cygnet
1P,cygnet,NA,NA,F,9.29,NA,147,25.9,44.028,1 of 6 cygnets in group; no skull length; tarsus seems to big for cygnet
3P,cygnet,NA,NA,F,8.25,NA,148.5,26.4,44.028,1 of 6 cygnets in group; no skull length; tarsus seems to big for cygnet
0P,non_breeder,n,0,M,12.05,198.44,153.4,NA,45.815115,tarsus seems too large; might have measured differently
4P,cygnet,NA,NA,M,7.5,178.4,150.51,6.1,45.846744,tarsus seems too large; might have measured differently
0E_2nd,non_breeder,n,0,M,12.2,191,140,76,44.544246,
6L_2nd,paired,y,0,F,13.3,186,126,107.7,46.842248,
9H_2nd,breeder,y,3,M,12.6,185,132,29.4,46.93839,
2H_2nd,breeder,y,3,F,10.4,195,125,21.6,46.64434,
8N,non_breeder,n,0,F,8.7,189,132,113.5,41.00855,
9P,paired,y,0,F,10.35,194.73,153.98,19.7,44.34275,tarsus seems too large; might have measured differently
9N,breeder,y,3,F,9,193,124,114.5,40.3749276,
4M,non_breeder,n,0,M,10,190,129,211.4,40.555457,
0L_2nd,paired,y,0,F,9.4,191,127,272.3,45.018178,
6R_2nd,paired,y,0,F,9.8,186,139,94.5,44.67474,
8E_2nd,non_breeder,n,0,F,10.2,195,123,90.9,45.101268,large group of swans on the lake
5M,breeder,y,3,F,9.3,190,121,130.4,41.440813,
6M,non_breeder,n,0,F,9,185,114,83.1,41.4604145,
7M,non_breeder,n,0,F,9.3,195,116,143.2,41.4604145,
8M,breeder,y,1,F,8.7,190,122,93.1,41.422667,
5P,breeder,y,7,F,9.05,194,144,21.3,46.14319,tarsus seems too large; might have measured differently
7P,non_breeder,n,0,M,9.1,196,151,72.1,45.81625,tarsus seems too large; might have measured differently
8P,non_breeder,n,0,F,11.07,211,158,256.4,45.81625,tarsus seems too large; might have measured differently
9M,paired,y,0,M,11.3,200,129,30.6,41.067061,
9C,breeder,y,2,F,9,200.2,125.82,21.5,43.472908,
0C_2nd,breeder,y,5,M,13.1,200,131,113.3,41.9015197,
5H_2nd,breeder,y,0,M,NA,NA,NA,NA,51.050226,recap to replace 0H cracked collar; no measurements 2nd time
6P,breeder,y,1,F,10,187,133,48.4,46.103775,
0N_2nd,paired,y,0,M,11.7,199,135,62.7,46.242133,
7L,breeder,y,1,M,12.8,NA,120,86.3,35.471514,
8L,paired,y,0,F,10.9,NA,117,191.2,35.471514,
9L,breeder,y,1,F,11.2,NA,116,169.1,35.471514,
0H_2nd,cygnet,NA,NA,F,9.6,NA,116,34.7,35.471514,
2J,breeder,y,2,F,9.35,198,128,NA,45.712552,
3J,breeder,y,3,F,10.1,194,120,NA,45.008628,
4J,breeder,y,2,F,9.96,194,127,NA,43.7949,
5J,breeder,y,6,F,11.2,200,125,NA,44.401589,
6J,breeder,y,2,M,12.7,212,123,NA,42.9482565,
7J,breeder,y,2,M,12.75,209,135,NA,42.3049808,
9J (first deployment),breeder,y,1,F,10.8,200,120,NA,42.259404,
2K,breeder,y,5,F,12.7,210,121,NA,46.309654,"cloaca clenched, may be male"
3K,non_breeder,n,0,F,9.42,190,123,NA,46.294051,potential breeder
4K,breeder,y,1,F,10.83,187,122,NA,46.291574,
5K,breeder,y,2,F,9.45,184,116,NA,46.356399,
6K,breeder,y,2,F,11.2,190,125,NA,46.233807,
7K,breeder,y,3,M,13.4,205,125,113.1,44.36273286,
9J (swan originally collared as 5J),breeder,y,1,F,11.68,207,129,15.8,44.38976643,
